"Alkuaika UTC";"Loppuaika UTC";"Sähkönkulutus Suomessa"
"2025-05-01T00:00:00.000Z";"2025-05-01T00:15:00.000Z";"9077.14"
"2025-05-01T01:00:00.000Z";"2025-05-01T01:15:00.000Z";"9295.92"
"2025-05-01T02:00:00.000Z";"2025-05-01T02:15:00.000Z";"9277.31"
"2025-05-01T03:00:00.000Z";"2025-05-01T03:15:00.000Z";"9396.25"
"2025-05-01T04:00:00.000Z";"2025-05-01T04:15:00.000Z";"9449.52"
"2025-05-01T05:00:00.000Z";"2025-05-01T05:15:00.000Z";"9340.41"
"2025-05-01T06:00:00.000Z";"2025-05-01T06:15:00.000Z";"9464.69"
"2025-05-01T07:00:00.000Z";"2025-05-01T07:15:00.000Z";"9762.92"
"2025-05-01T08:00:00.000Z";"2025-05-01T08:15:00.000Z";"9690.35"
"2025-05-01T09:00:00.000Z";"2025-05-01T09:15:00.000Z";"9586.94"
"2025-05-01T10:00:00.000Z";"2025-05-01T10:15:00.000Z";"9508.11"
"2025-05-01T11:00:00.000Z";"2025-05-01T11:15:00.000Z";"9264.32"
"2025-05-01T12:00:00.000Z";"2025-05-01T12:15:00.000Z";"9213.15"
"2025-05-01T13:00:00.000Z";"2025-05-01T13:15:00.000Z";"9198.73"
"2025-05-01T14:00:00.000Z";"2025-05-01T14:15:00.000Z";"9105.3"
"2025-05-01T15:00:00.000Z";"2025-05-01T15:15:00.000Z";"9236.98"
"2025-05-01T16:00:00.000Z";"2025-05-01T16:15:00.000Z";"9277.91"
"2025-05-01T17:00:00.000Z";"2025-05-01T17:15:00.000Z";"9450.97"
"2025-05-01T18:00:00.000Z";"2025-05-01T18:15:00.000Z";"9310.08"
"2025-05-01T19:00:00.000Z";"2025-05-01T19:15:00.000Z";"9712.64"
"2025-05-01T20:00:00.000Z";"2025-05-01T20:15:00.000Z";"9733.38"
"2025-05-01T21:00:00.000Z";"2025-05-01T21:15:00.000Z";"9484.53"
"2025-05-01T22:00:00.000Z";"2025-05-01T22:15:00.000Z";"9245.82"
"2025-05-01T23:00:00.000Z";"2025-05-01T23:15:00.000Z";"9101.44"
"2025-05-02T00:00:00.000Z";"2025-05-02T00:15:00.000Z";"8998.87"
"2025-05-02T01:00:00.000Z";"2025-05-02T01:15:00.000Z";"8986.49"
"2025-05-02T02:00:00.000Z";"2025-05-02T02:15:00.000Z";"9044.31"
"2025-05-02T03:00:00.000Z";"2025-05-02T03:15:00.000Z";"9419.39"
"2025-05-02T04:00:00.000Z";"2025-05-02T04:15:00.000Z";"9773.51"
"2025-05-02T05:00:00.000Z";"2025-05-02T05:15:00.000Z";"9911.08"
"2025-05-02T06:00:00.000Z";"2025-05-02T06:15:00.000Z";"10034.4"
"2025-05-02T07:00:00.000Z";"2025-05-02T07:15:00.000Z";"9877.39"
"2025-05-02T08:00:00.000Z";"2025-05-02T08:15:00.000Z";"9916.71"
"2025-05-02T09:00:00.000Z";"2025-05-02T09:15:00.000Z";"9883.66"
"2025-05-02T10:00:00.000Z";"2025-05-02T10:15:00.000Z";"9937.78"
"2025-05-02T11:00:00.000Z";"2025-05-02T11:15:00.000Z";"9976.96"
"2025-05-02T12:00:00.000Z";"2025-05-02T12:15:00.000Z";"9927.6"
"2025-05-02T13:00:00.000Z";"2025-05-02T13:15:00.000Z";"10019.6"
"2025-05-02T14:00:00.000Z";"2025-05-02T14:15:00.000Z";"10279.3"
"2025-05-02T15:00:00.000Z";"2025-05-02T15:15:00.000Z";"10103.9"
"2025-05-02T16:00:00.000Z";"2025-05-02T16:15:00.000Z";"10090.8"
"2025-05-02T17:00:00.000Z";"2025-05-02T17:15:00.000Z";"10052.1"
"2025-05-02T18:00:00.000Z";"2025-05-02T18:15:00.000Z";"9725.53"
"2025-05-02T19:00:00.000Z";"2025-05-02T19:15:00.000Z";"9749.5"
"2025-05-02T20:00:00.000Z";"2025-05-02T20:15:00.000Z";"9582.82"
"2025-05-02T21:00:00.000Z";"2025-05-02T21:15:00.000Z";"9243.74"
"2025-05-02T22:00:00.000Z";"2025-05-02T22:15:00.000Z";"8922.69"
"2025-05-02T23:00:00.000Z";"2025-05-02T23:15:00.000Z";"8832.93"
"2025-05-03T00:00:00.000Z";"2025-05-03T00:15:00.000Z";"8791.3"
"2025-05-03T01:00:00.000Z";"2025-05-03T01:15:00.000Z";"8701.7"
"2025-05-03T02:00:00.000Z";"2025-05-03T02:15:00.000Z";"8636.98"
"2025-05-03T03:00:00.000Z";"2025-05-03T03:15:00.000Z";"8912.53"
"2025-05-03T04:00:00.000Z";"2025-05-03T04:15:00.000Z";"8967.59"
"2025-05-03T05:00:00.000Z";"2025-05-03T05:15:00.000Z";"9036.23"
"2025-05-03T06:00:00.000Z";"2025-05-03T06:15:00.000Z";"9260.36"
"2025-05-03T07:00:00.000Z";"2025-05-03T07:15:00.000Z";"9346.8"
"2025-05-03T08:00:00.000Z";"2025-05-03T08:15:00.000Z";"9431.78"
"2025-05-03T09:00:00.000Z";"2025-05-03T09:15:00.000Z";"9435.38"
"2025-05-03T10:00:00.000Z";"2025-05-03T10:15:00.000Z";"9242.2"
"2025-05-03T11:00:00.000Z";"2025-05-03T11:15:00.000Z";"9257.58"
"2025-05-03T12:00:00.000Z";"2025-05-03T12:15:00.000Z";"9316.62"
"2025-05-03T13:00:00.000Z";"2025-05-03T13:15:00.000Z";"9471.11"
"2025-05-03T14:00:00.000Z";"2025-05-03T14:15:00.000Z";"9555.86"
"2025-05-03T15:00:00.000Z";"2025-05-03T15:15:00.000Z";"9648.39"
"2025-05-03T16:00:00.000Z";"2025-05-03T16:15:00.000Z";"9624.75"
"2025-05-03T17:00:00.000Z";"2025-05-03T17:15:00.000Z";"9487.35"
"2025-05-03T18:00:00.000Z";"2025-05-03T18:15:00.000Z";"9127.23"
"2025-05-03T19:00:00.000Z";"2025-05-03T19:15:00.000Z";"9412.7"
"2025-05-03T20:00:00.000Z";"2025-05-03T20:15:00.000Z";"9454.63"
"2025-05-03T21:00:00.000Z";"2025-05-03T21:15:00.000Z";"9189.54"
"2025-05-03T22:00:00.000Z";"2025-05-03T22:15:00.000Z";"9001.19"
"2025-05-03T23:00:00.000Z";"2025-05-03T23:15:00.000Z";"8867.78"
